codgeo;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP7589;P17_POP90P;NIXI_0_14;NIXI_15_29;NIXI_30_44;NIXI_45_59;NIXI_60_74;NIXI_75_89;NIXI_90_100;NIXI_TOTAL;average_age_population
1001;776;162;103;133;192;128;54;5;1131;2264;4916;9973;8546;4444;487;31761,5;41
1002;248;56;29;71;38;35;17;2;393;629;2643;1964;2325;1423;194;9569,9;39
1004;14035;2726;2988;2726;2470;1934;999;193;19079;65738;100856;128435;129554;81958;18289;543908,4;39
1005;1689;344;259;333;392;244;105;11;2408;5709;12333;20375;16381;8628;1010;66844,3;40
1006;111;12;16;15;29;27;10;1;85;355;560;1522;1825;827;96;5270,5;47
1007;2726;608;383;614;520;416;170;16;4253;8418;22729;27036;27850;13969;1480;105734,8;39
1008;752;136;128;157;182;112;33;3;955;2827;5823;9478;7474;2695;284;29536,2;39
1009;330;54;37;56;72;69;37;5;378;807;2073;3760;4640;3007;484;15148,4;46
1010;1115;265;161;243;222;148;74;2;1855;3542;8991;11544;9916;6068;190;42106,0;38
1011;376;87;44;75;77;77;15;1;609;968;2775;4004;5159;1230;95;14840,0;39
1012;326;67;29;58;65;61;44;2;469;638;2146;3380;4087;3608;190;14518,0;45
1013;144;27;15;25;39;27;11;0;189;330;925;2028;1809;902;0;6183,0;43
1014;3367;642;489;629;693;664;206;44;4494;10758;23273;36036;44488;16892;4180;140121,0;42
1015;644;101;93;106;139;133;68;5;704;2037;3904;7246;8936;5550;473;28849,6;45
1016;463;113;63;102;73;73;37;2;793;1380;3770;3800;4893;3034;188;17857,1;39
1017;442;98;44;94;82;82;40;2;689;962;3495;4257;5478;3262;187;18330,4;41
1019;28;4;5;0;7;11;2;0;25;103;0;364;704;191;0;1386,0;49
1021;1408;277;224;300;292;240;65;10;1936;4919;11109;15171;16113;5347;963;55558,5;39
1022;1237;206;180;202;257;242;137;14;1443;3950;7467;13362;16186;11219;1337;54965,0;44
1023;66;11;10;11;20;10;2;1;79;229;418;1039;698;142;83;2687,8;41
1024;3211;702;499;670;657;482;185;16;4914;10978;24790;34164;32294;15170;1520;123830,0;39
1025;4092;876;589;818;896;665;217;30;6134;12948;30267;46618;44560;17822;2868;161216,9;39
1026;923;166;142;177;153;152;104;30;1163;3115;6531;7956;10156;8529;2864;40314,7;44
1027;2684;475;1028;505;368;236;69;3;3324;22618;18689;19152;15807;5643;280;85512,6;32
1028;602;124;96;110;138;99;32;2;868;2108;4088;7191;6647;2635;190;23726,6;39
1029;689;127;92;145;165;103;51;6;889;2024;5365;8580;6901;4182;570;28511,0;41
1030;866;172;143;188;186;126;44;6;1207;3149;6957;9669;8469;3598;595;33643,4;39
1031;3624;732;679;700;662;599;225;27;5124;14938;25900;34424;40133;18450;2565;141534,0;39
1032;3333;869;552;748;565;385;169;44;6086;12154;27683;29399;25774;13824;4212;119131,0;36
1033;16423;3349;2874;3410;3208;2321;1088;173;23444;63236;126164;166825;155486;89209;16420;640783,6;39
1034;9103;1682;1489;1562;1771;1430;939;230;11776;32763;57783;92099;95795;76996;21837;389048,3;43
1035;314;46;36;65;96;48;23;0;325;796;2400;4982;3202;1884;0;13588,7;43
1036;1311;213;149;218;290;289;135;16;1490;3287;8074;15100;19382;11070;1502;59905,7;46
1037;298;56;35;66;56;63;17;5;391;780;2437;2899;4212;1411;479;12608,8;42
1038;756;152;104;142;157;133;59;9;1067;2284;5252;8185;8894;4799;867;31347,7;41
1039;454;82;61;88;95;92;28;7;574;1353;3261;4956;6180;2269;682;19274,0;42
1040;496;120;67;130;95;50;33;1;842;1468;4802;4932;3364;2721;94;18224,1;37
1041;748;136;115;143;178;112;54;10;949;2540;5275;9241;7534;4446;954;30939,1;41
1042;279;53;37;61;58;54;17;0;368;823;2244;2996;3590;1409;0;11429,9;41
1043;4613;906;706;839;1055;701;370;36;6345;15521;31055;54847;46997;30308;3410;188484,3;41
1044;622;133;106;149;105;85;43;1;930;2338;5499;5476;5671;3551;93;23558,3;38
1045;283;69;40;65;57;33;14;3;486;886;2422;2985;2227;1156;287;10449,9;37
1046;876;205;120;183;197;110;56;5;1435;2640;6771;10244;7370;4592;475;33527,0;38
1047;1007;236;162;229;229;104;43;4;1649;3568;8458;11889;7000;3547;407;36518,8;36
1049;3229;656;538;628;738;432;220;17;4591;11846;23229;38356;28955;18013;1662;126651,6;39
1050;336;86;44;75;67;31;29;3;604;959;2780;3484;2109;2415;289;12640,2;38
1051;89;12;8;11;24;24;9;1;84;176;407;1248;1608;738;95;4356,0;49
