geocode,city_name,an,4G_rate
01001,L'Abergement-Clémenciat,2017,"98,20"
01002,L'Abergement-de-Varey,2017,"38,10"
01004,Ambérieu-en-Bugey,2017,"91,10"
01005,Ambérieux-en-Dombes,2017,"98,80"
01006,Ambléon,2017,"56,00"
01007,Ambronay,2017,"93,80"
01008,Ambutrix,2017,"100,00"
01009,Andert-et-Condon,2017,"97,00"
01010,Anglefort,2017,"81,10"
01011,Apremont,2017,"32,40"
01012,Aranc,2017,"71,40"
01013,Arandas,2017,"8,50"
01014,Arbent,2017,"80,30"
01015,Arboys en Bugey,2017,"67,10"
01016,Arbigny,2017,"99,10"
01017,Argis,2017,"88,80"
01019,Armix,2017,"52,50"
01021,Ars-sur-Formans,2017,"100,00"
01022,Artemare,2017,"100,00"
01023,Asnières-sur-Saône,2017,"100,00"
01024,Attignat,2017,"100,00"
01025,Bâgé-Dommartin,2017,"100,00"
01026,Bâgé-le-Châtel,2017,"100,00"
01027,Balan,2017,"100,00"
01028,Baneins,2017,"94,30"
01029,Beaupont,2017,"98,40"
01030,Beauregard,2017,"100,00"
01031,Bellignat,2017,"98,70"
01032,Béligneux,2017,"99,80"
01033,Valserhône,2017,"82,00"
01034,Belley,2017,"94,30"
01035,Belleydoux,2017,"0,00"
01036,Valromey-sur-Séran,2017,"97,20"
01037,Bénonces,2017,"12,90"
01038,Bény,2017,"99,70"
01039,Béon,2017,"96,10"
01040,Béréziat,2017,"97,60"
01041,Bettant,2017,"99,90"
01042,Bey,2017,"100,00"
01043,Beynost,2017,"100,00"
01044,Billiat,2017,"82,90"
01045,Birieux,2017,"99,60"
01046,Biziat,2017,"100,00"
01047,Blyes,2017,"100,00"
01049,La Boisse,2017,"100,00"
01050,Boissey,2017,"99,90"
01051,Bolozon,2017,"1,30"
01052,Bouligneux,2017,"54,80"
01053,Bourg-en-Bresse,2017,"100,00"
01054,Bourg-Saint-Christophe,2017,"100,00"
01056,Boyeux-Saint-Jérôme,2017,"42,00"
01057,Boz,2017,"100,00"
01058,Brégnier-Cordon,2017,"100,00"
01060,Brénod,2017,"36,40"
01061,Brens,2017,"94,00"
01062,Bressolles,2017,"98,00"
01063,Brion,2017,"98,90"
01064,Briord,2017,"82,50"
01065,Buellas,2017,"100,00"
01066,La Burbanche,2017,"94,70"
01067,Ceignes,2017,"20,60"
01068,Cerdon,2017,"86,30"
01069,Certines,2017,"55,10"
01071,Cessy,2017,"100,00"
01072,Ceyzériat,2017,"97,50"
01073,Ceyzérieu,2017,"99,40"
01074,Chalamont,2017,"2,80"
01075,Chaleins,2017,"100,00"
01076,Chaley,2017,"39,70"
01077,Challes-la-Montagne,2017,"52,40"
01078,Challex,2017,"92,40"
01079,Champagne-en-Valromey,2017,"99,70"
01080,Champdor-Corcelles,2017,"82,10"
01081,Champfromier,2017,"22,40"
01082,Chanay,2017,"71,00"
01083,Chaneins,2017,"99,90"
01084,Chanoz-Châtenay,2017,"99,80"
01085,La Chapelle-du-Châtelard,2017,"59,20"
01087,Charix,2017,"0,10"
01088,Charnoz-sur-Ain,2017,"100,00"
01089,Château-Gaillard,2017,"100,00"
01090,Châtenay,2017,"0,10"
01092,Châtillon-la-Palud,2017,"89,60"
01093,Châtillon-sur-Chalaronne,2017,"100,00"
01094,Chavannes-sur-Reyssouze,2017,"99,80"
01095,Nivigne et Suran,2017,"2,80"
01096,Chaveyriat,2017,"100,00"
01098,Chazey-Bons,2017,"99,90"
01099,Chazey-sur-Ain,2017,"100,00"
01100,Cheignieu-la-Balme,2017,"95,20"
01101,Chevillard,2017,"93,40"
01102,Chevroux,2017,"100,00"
01103,Chevry,2017,"100,00"
01104,Chézery-Forens,2017,"2,90"
01105,Civrieux,2017,"100,00"
01106,Cize,2017,"1,90"
01107,Cleyzieu,2017,"92,60"
01108,Coligny,2017,"98,10"
01109,Collonges,2017,"96,90"
01110,Colomieu,2017,"57,00"
01111,Conand,2017,"1,90"
01112,Condamine,2017,"93,60"
01113,Condeissiat,2017,"98,50"
01114,Confort,2017,"76,10"
01115,Confrançon,2017,"100,00"
01116,Contrevoz,2017,"95,70"
01117,Conzieu,2017,"47,10"
01118,Corbonod,2017,"76,80"
01121,Corlier,2017,"70,80"
01123,Cormoranche-sur-Saône,2017,"100,00"
01124,Cormoz,2017,"97,80"
01125,Corveissiat,2017,"46,10"
01127,Courmangoux,2017,"34,20"
01128,Courtes,2017,"100,00"
01129,Crans,2017,"74,60"
01130,Bresse Vallons,2017,"99,70"
01133,Cressin-Rochefort,2017,"99,80"
01134,Crottet,2017,"100,00"
01135,Crozet,2017,"76,50"
01136,Cruzilles-lès-Mépillat,2017,"100,00"
01138,Culoz,2017,"88,10"
01139,Curciat-Dongalon,2017,"100,00"
01140,Curtafond,2017,"100,00"
01141,Cuzieu,2017,"97,00"
01142,Dagneux,2017,"100,00"
01143,Divonne-les-Bains,2017,"81,40"
01145,Dompierre-sur-Veyle,2017,"0,20"
01146,Dompierre-sur-Chalaronne,2017,"99,40"
01147,Domsure,2017,"100,00"
01148,Dortan,2017,"96,10"
01149,Douvres,2017,"95,90"
01150,Drom,2017,"86,50"
01151,Druillat,2017,"82,70"
01152,Échallon,2017,"1,50"
01153,Échenevex,2017,"77,80"
01155,Évosges,2017,"17,60"
01156,Faramans,2017,"99,90"
01157,Fareins,2017,"100,00"
01158,Farges,2017,"95,00"
01159,Feillens,2017,"100,00"
01160,Ferney-Voltaire,2017,"99,70"
01162,Flaxieu,2017,"100,00"
01163,Foissiat,2017,"96,40"
01165,Francheleins,2017,"100,00"
01166,Frans,2017,"100,00"
01167,Garnerans,2017,"100,00"
01169,Genouilleux,2017,"100,00"
01170,Béard-Géovreissiat,2017,"99,90"
01171,Géovreisset,2017,"83,90"
01173,Gex,2017,"87,50"
01174,Giron,2017,"1,50"
01175,Gorrevod,2017,"100,00"
01177,Grand-Corent,2017,"27,80"
01179,Grièges,2017,"100,00"
01180,Grilly,2017,"99,60"
01181,Groissiat,2017,"98,20"
01183,Guéreins,2017,"100,00"
01184,Hautecourt-Romanèche,2017,"31,70"
01185,Plateau d'Hauteville,2017,"76,40"
01187,Haut Valromey,2017,"63,00"
01188,Illiat,2017,"99,50"
01189,Injoux-Génissiat,2017,"88,70"
01190,Innimond,2017,"27,60"
01191,Izenave,2017,"88,00"
01192,Izernore,2017,"92,40"
01193,Izieu,2017,"99,00"
01194,Jassans-Riottier,2017,"100,00"
01195,Jasseron,2017,"97,60"
01196,Jayat,2017,"100,00"
01197,Journans,2017,"84,40"
01198,Joyeux,2017,"81,10"
01199,Jujurieux,2017,"94,60"
01200,Labalme,2017,"46,80"
01202,Lagnieu,2017,"98,40"
01203,Laiz,2017,"100,00"
01204,Le Poizat-Lalleyriat,2017,"1,10"
01206,Lantenay,2017,"97,40"
01207,Lapeyrouse,2017,"99,50"
01208,Lavours,2017,"100,00"
01209,Léaz,2017,"95,30"
01210,Lélex,2017,"0,00"
01211,Lent,2017,"43,40"
01212,Lescheroux,2017,"98,60"
01213,Leyment,2017,"99,90"
01214,Leyssard,2017,"2,20"
01215,Surjoux-Lhopital,2017,"76,10"
01216,Lhuis,2017,"76,00"
01219,Lompnas,2017,"15,30"
01224,Loyettes,2017,"100,00"
01225,Lurcy,2017,"100,00"
01227,Magnieu,2017,"93,50"
01228,Maillat,2017,"88,40"
01229,Malafretaz,2017,"99,90"
01230,Mantenay-Montlin,2017,"100,00"
01231,Manziat,2017,"100,00"
01232,Marboz,2017,"98,80"
01233,Marchamp,2017,"11,30"
01234,Marignieu,2017,"99,60"
01235,Marlieux,2017,"11,60"
01236,Marsonnas,2017,"99,00"
01237,Martignat,2017,"97,40"
01238,Massieux,2017,"100,00"
01239,Massignieu-de-Rives,2017,"97,00"
01240,Matafelon-Granges,2017,"69,40"
01241,Meillonnas,2017,"72,90"
01242,Mérignat,2017,"99,40"
01243,Messimy-sur-Saône,2017,"100,00"
01244,Meximieux,2017,"100,00"
01245,Bohas-Meyriat-Rignat,2017,"69,60"
01246,Mézériat,2017,"100,00"
01247,Mijoux,2017,"46,30"
01248,Mionnay,2017,"100,00"
01249,Miribel,2017,"100,00"
01250,Misérieux,2017,"100,00"
01252,Mogneneins,2017,"100,00"
01254,Montagnat,2017,"85,50"
01255,Montagnieu,2017,"79,30"
01257,Montanges,2017,"73,90"
01258,Montceaux,2017,"100,00"
01259,Montcet,2017,"100,00"
01260,Le Montellier,2017,"98,80"
01261,Monthieux,2017,"100,00"
01262,Montluel,2017,"100,00"
01263,Montmerle-sur-Saône,2017,"100,00"
01264,Montracol,2017,"99,90"
01265,Montréal-la-Cluse,2017,"83,70"
01266,Montrevel-en-Bresse,2017,"99,70"
01267,Nurieux-Volognat,2017,"84,30"
01268,Murs-et-Gélignieux,2017,"96,50"
01269,Nantua,2017,"32,10"
01272,Neuville-les-Dames,2017,"98,80"
01273,Neuville-sur-Ain,2017,"91,20"
01274,Les Neyrolles,2017,"11,00"
01275,Neyron,2017,"100,00"
01276,Niévroz,2017,"100,00"
01277,Nivollet-Montgriffon,2017,"16,80"
01279,Oncieu,2017,"49,40"
01280,Ordonnaz,2017,"22,80"
01281,Ornex,2017,"98,60"
01282,Outriaz,2017,"95,60"
01283,Oyonnax,2017,"72,80"
01284,Ozan,2017,"100,00"
01285,Parcieux,2017,"100,00"
01286,Parves et Nattages,2017,"99,00"
01288,Péron,2017,"95,10"
01289,Péronnas,2017,"86,80"
01290,Pérouges,2017,"100,00"
01291,Perrex,2017,"100,00"
01293,Peyriat,2017,"78,90"
01294,Peyrieu,2017,"71,80"
01295,Peyzieux-sur-Saône,2017,"100,00"
01296,Pirajoux,2017,"100,00"
01297,Pizay,2017,"98,60"
01298,Plagne,2017,"1,50"
01299,Le Plantay,2017,"3,30"
01301,Polliat,2017,"100,00"
01302,Pollieu,2017,"99,80"
01303,Poncin,2017,"98,50"
01304,Pont-d'Ain,2017,"100,00"
01305,Pont-de-Vaux,2017,"100,00"
01306,Pont-de-Veyle,2017,"100,00"
01307,Port,2017,"98,10"
01308,Pougny,2017,"91,50"
01309,Pouillat,2017,"59,10"
01310,Prémeyzel,2017,"51,80"
01311,Prémillieu,2017,"33,70"
01313,Prévessin-Moëns,2017,"99,80"
01314,Priay,2017,"75,50"
01317,Ramasse,2017,"95,60"
01318,Rancé,2017,"100,00"
01319,Relevant,2017,"98,00"
01320,Replonges,2017,"100,00"
01321,Revonnas,2017,"78,10"
01322,Reyrieux,2017,"100,00"
01323,Reyssouze,2017,"100,00"
01325,Rignieux-le-Franc,2017,"82,00"
01328,Romans,2017,"80,60"
01329,Rossillon,2017,"94,40"
01330,Ruffieu,2017,"87,20"
01331,Saint-Alban,2017,"86,10"
01332,Saint-André-de-Bâgé,2017,"100,00"
01333,Saint-André-de-Corcy,2017,"100,00"
01334,Saint-André-d'Huiriat,2017,"100,00"
01335,Saint-André-le-Bouchoux,2017,"51,10"
01336,Saint-André-sur-Vieux-Jonc,2017,"95,70"
01337,Saint-Bénigne,2017,"99,90"
01338,Groslée-Saint-Benoit,2017,"98,00"
01339,Saint-Bernard,2017,"100,00"
01342,Sainte-Croix,2017,"100,00"
01343,Saint-Cyr-sur-Menthon,2017,"100,00"
01344,Saint-Denis-lès-Bourg,2017,"100,00"
01345,Saint-Denis-en-Bugey,2017,"100,00"
01346,Saint-Didier-d'Aussiat,2017,"100,00"
01347,Saint-Didier-de-Formans,2017,"100,00"
01348,Saint-Didier-sur-Chalaronne,2017,"100,00"
01349,Saint-Éloi,2017,"93,90"
01350,Saint-Étienne-du-Bois,2017,"97,00"
01351,Saint-Étienne-sur-Chalaronne,2017,"99,80"
01352,Saint-Étienne-sur-Reyssouze,2017,"99,90"
01353,Sainte-Euphémie,2017,"100,00"
01354,Saint-Genis-Pouilly,2017,"99,90"
01355,Saint-Genis-sur-Menthon,2017,"100,00"
01356,Saint-Georges-sur-Renon,2017,"19,80"
01357,Saint-Germain-de-Joux,2017,"18,00"
01358,Saint-Germain-les-Paroisses,2017,"70,90"
01359,Saint-Germain-sur-Renon,2017,"21,40"
01360,Saint-Jean-de-Gonville,2017,"98,60"
01361,Saint-Jean-de-Niost,2017,"100,00"
01362,Saint-Jean-de-Thurigneux,2017,"100,00"
01363,Saint-Jean-le-Vieux,2017,"99,00"
01364,Saint-Jean-sur-Reyssouze,2017,"100,00"
01365,Saint-Jean-sur-Veyle,2017,"100,00"
01366,Sainte-Julie,2017,"100,00"
01367,Saint-Julien-sur-Reyssouze,2017,"100,00"
01368,Saint-Julien-sur-Veyle,2017,"100,00"
01369,Saint-Just,2017,"100,00"
01370,Saint-Laurent-sur-Saône,2017,"100,00"
01371,Saint-Marcel,2017,"100,00"
01372,Saint-Martin-de-Bavel,2017,"100,00"
01373,Saint-Martin-du-Frêne,2017,"83,00"
01374,Saint-Martin-du-Mont,2017,"71,40"
01375,Saint-Martin-le-Châtel,2017,"100,00"
01376,Saint-Maurice-de-Beynost,2017,"100,00"
01378,Saint-Maurice-de-Gourdans,2017,"100,00"
01379,Saint-Maurice-de-Rémens,2017,"100,00"
01380,Saint-Nizier-le-Bouchoux,2017,"96,20"
01381,Saint-Nizier-le-Désert,2017,"0,00"
01382,Sainte-Olive,2017,"83,60"
01383,Saint-Paul-de-Varax,2017,"14,70"
01384,Saint-Rambert-en-Bugey,2017,"56,30"
01385,Saint-Rémy,2017,"100,00"
01386,Saint-Sorlin-en-Bugey,2017,"89,40"
01387,Saint-Sulpice,2017,"99,90"
01388,Saint-Trivier-de-Courtes,2017,"100,00"
01389,Saint-Trivier-sur-Moignans,2017,"92,70"
01390,Saint-Vulbas,2017,"100,00"
01391,Salavre,2017,"74,80"
01392,Samognat,2017,"62,50"
01393,Sandrans,2017,"82,30"
01396,Sault-Brénaz,2017,"94,30"
01397,Sauverny,2017,"98,30"
01398,Savigneux,2017,"100,00"
01399,Ségny,2017,"100,00"
01400,Seillonnaz,2017,"20,50"
01401,Sergy,2017,"98,90"
01402,Sermoyer,2017,"100,00"
