geocode,city_name,an,fibre_rate
01001,L'Abergement-Clémenciat,2020,"0,00"
01002,L'Abergement-de-Varey,2020,"90,70"
01004,Ambérieu-en-Bugey,2020,"92,30"
01005,Ambérieux-en-Dombes,2020,"73,50"
01006,Ambléon,2020,"96,30"
01007,Ambronay,2020,"74,50"
01008,Ambutrix,2020,"84,80"
01009,Andert-et-Condon,2020,"94,30"
01010,Anglefort,2020,"82,50"
01011,Apremont,2020,"86,80"
01012,Aranc,2020,"0,00"
01013,Arandas,2020,"0,00"
01014,Arbent,2020,"94,90"
01015,Arboys en Bugey,2020,"71,20"
01016,Arbigny,2020,"97,20"
01017,Argis,2020,"0,00"
01019,Armix,2020,"0,00"
01021,Ars-sur-Formans,2020,"0,00"
01022,Artemare,2020,"0,00"
01023,Asnières-sur-Saône,2020,"100,00"
01024,Attignat,2020,"50,80"
01025,Bâgé-Dommartin,2020,"23,90"
01026,Bâgé-le-Châtel,2020,"0,00"
01027,Balan,2020,"39,30"
01028,Baneins,2020,"0,40"
01029,Beaupont,2020,"44,20"
01030,Beauregard,2020,"0,00"
01031,Bellignat,2020,"54,90"
01032,Béligneux,2020,"54,40"
01033,Valserhône,2020,"42,70"
01034,Belley,2020,"1,00"
01035,Belleydoux,2020,"83,50"
01036,Valromey-sur-Séran,2020,"39,90"
01037,Bénonces,2020,"76,60"
01038,Bény,2020,"1,10"
01039,Béon,2020,"89,60"
01040,Béréziat,2020,"0,00"
01041,Bettant,2020,"0,00"
01042,Bey,2020,"94,40"
01043,Beynost,2020,"0,00"
01044,Billiat,2020,"85,50"
01045,Birieux,2020,"0,00"
01046,Biziat,2020,"74,60"
01047,Blyes,2020,"92,20"
01049,La Boisse,2020,"1,70"
01050,Boissey,2020,"0,00"
01051,Bolozon,2020,"0,00"
01052,Bouligneux,2020,"63,30"
01053,Bourg-en-Bresse,2020,"92,10"
01054,Bourg-Saint-Christophe,2020,"96,80"
01056,Boyeux-Saint-Jérôme,2020,"94,80"
01057,Boz,2020,"88,90"
01058,Brégnier-Cordon,2020,"73,90"
01060,Brénod,2020,"0,00"
01061,Brens,2020,"0,00"
01062,Bressolles,2020,"2,20"
01063,Brion,2020,"41,10"
01064,Briord,2020,"90,00"
01065,Buellas,2020,"87,40"
01066,La Burbanche,2020,"68,00"
01067,Ceignes,2020,"93,70"
01068,Cerdon,2020,"0,00"
01069,Certines,2020,"89,20"
01071,Cessy,2020,"80,00"
01072,Ceyzériat,2020,"35,50"
01073,Ceyzérieu,2020,"0,00"
01074,Chalamont,2020,"0,60"
01075,Chaleins,2020,"77,10"
01076,Chaley,2020,"0,00"
01077,Challes-la-Montagne,2020,"0,00"
01078,Challex,2020,"95,50"
01079,Champagne-en-Valromey,2020,"0,00"
01080,Champdor-Corcelles,2020,"57,60"
01081,Champfromier,2020,"71,90"
01082,Chanay,2020,"78,60"
01083,Chaneins,2020,"90,40"
01084,Chanoz-Châtenay,2020,"0,00"
01085,La Chapelle-du-Châtelard,2020,"0,00"
01087,Charix,2020,"0,00"
01088,Charnoz-sur-Ain,2020,"95,80"
01089,Château-Gaillard,2020,"65,50"
01090,Châtenay,2020,"0,00"
01092,Châtillon-la-Palud,2020,"0,00"
01093,Châtillon-sur-Chalaronne,2020,"1,80"
01094,Chavannes-sur-Reyssouze,2020,"96,60"
01095,Nivigne et Suran,2020,"0,00"
01096,Chaveyriat,2020,"0,00"
01098,Chazey-Bons,2020,"0,00"
01099,Chazey-sur-Ain,2020,"87,90"
01100,Cheignieu-la-Balme,2020,"0,00"
01101,Chevillard,2020,"91,20"
01102,Chevroux,2020,"0,00"
01103,Chevry,2020,"106,00"
01104,Chézery-Forens,2020,"38,20"
01105,Civrieux,2020,"92,90"
01106,Cize,2020,"0,00"
01107,Cleyzieu,2020,"0,00"
01108,Coligny,2020,"53,60"
01109,Collonges,2020,"69,00"
01110,Colomieu,2020,"0,00"
01111,Conand,2020,"0,00"
01112,Condamine,2020,"0,00"
01113,Condeissiat,2020,"0,00"
01114,Confort,2020,"71,80"
01115,Confrançon,2020,"59,00"
01116,Contrevoz,2020,"0,00"
01117,Conzieu,2020,"100,00"
01118,Corbonod,2020,"66,50"
01121,Corlier,2020,"0,00"
01123,Cormoranche-sur-Saône,2020,"94,60"
01124,Cormoz,2020,"75,90"
01125,Corveissiat,2020,"75,80"
01127,Courmangoux,2020,"87,20"
01128,Courtes,2020,"88,10"
01129,Crans,2020,"69,20"
01130,Bresse Vallons,2020,"59,70"
01133,Cressin-Rochefort,2020,"0,00"
01134,Crottet,2020,"87,70"
01135,Crozet,2020,"91,50"
01136,Cruzilles-lès-Mépillat,2020,"77,50"
01138,Culoz,2020,"8,90"
01139,Curciat-Dongalon,2020,"0,00"
01140,Curtafond,2020,"95,80"
01141,Cuzieu,2020,"0,00"
01142,Dagneux,2020,"4,40"
01143,Divonne-les-Bains,2020,"49,60"
01145,Dompierre-sur-Veyle,2020,"31,10"
01146,Dompierre-sur-Chalaronne,2020,"98,90"
01147,Domsure,2020,"77,20"
01148,Dortan,2020,"0,00"
01149,Douvres,2020,"0,00"
01150,Drom,2020,"90,60"
01151,Druillat,2020,"70,60"
01152,Échallon,2020,"88,60"
01153,Échenevex,2020,"91,10"
01155,Évosges,2020,"99,10"
01156,Faramans,2020,"89,50"
01157,Fareins,2020,"0,00"
01158,Farges,2020,"56,30"
01159,Feillens,2020,"35,90"
01160,Ferney-Voltaire,2020,"50,20"
01162,Flaxieu,2020,"78,00"
01163,Foissiat,2020,"0,00"
01165,Francheleins,2020,"82,80"
01166,Frans,2020,"0,00"
01167,Garnerans,2020,"92,00"
01169,Genouilleux,2020,"95,20"
01170,Béard-Géovreissiat,2020,"95,50"
01171,Géovreisset,2020,"0,00"
01173,Gex,2020,"67,90"
01174,Giron,2020,"79,30"
01175,Gorrevod,2020,"74,20"
01177,Grand-Corent,2020,"0,00"
01179,Grièges,2020,"91,50"
01180,Grilly,2020,"69,00"
01181,Groissiat,2020,"95,20"
01183,Guéreins,2020,"8,00"
01184,Hautecourt-Romanèche,2020,"88,80"
01185,Plateau d'Hauteville,2020,"23,80"
01187,Haut Valromey,2020,"0,00"
01188,Illiat,2020,"0,00"
01189,Injoux-Génissiat,2020,"87,90"
01190,Innimond,2020,"0,00"
01191,Izenave,2020,"0,00"
01192,Izernore,2020,"69,50"
01193,Izieu,2020,"62,30"
01194,Jassans-Riottier,2020,"0,10"
01195,Jasseron,2020,"82,90"
01196,Jayat,2020,"0,00"
01197,Journans,2020,"0,00"
01198,Joyeux,2020,"97,80"
01199,Jujurieux,2020,"0,00"
01200,Labalme,2020,"0,00"
01202,Lagnieu,2020,"5,90"
01203,Laiz,2020,"0,00"
01204,Le Poizat-Lalleyriat,2020,"25,30"
01206,Lantenay,2020,"0,00"
01207,Lapeyrouse,2020,"73,10"
01208,Lavours,2020,"0,00"
01209,Léaz,2020,"80,40"
01210,Lélex,2020,"43,90"
01211,Lent,2020,"49,40"
01212,Lescheroux,2020,"0,00"
01213,Leyment,2020,"85,00"
01214,Leyssard,2020,"93,20"
01215,Surjoux-Lhopital,2020,"54,90"
01216,Lhuis,2020,"46,00"
01219,Lompnas,2020,"91,90"
01224,Loyettes,2020,"0,00"
01225,Lurcy,2020,"0,00"
01227,Magnieu,2020,"94,00"
01228,Maillat,2020,"101,90"
01229,Malafretaz,2020,"1,80"
01230,Mantenay-Montlin,2020,"77,80"
01231,Manziat,2020,"75,30"
01232,Marboz,2020,"18,30"
01233,Marchamp,2020,"84,70"
01234,Marignieu,2020,"96,40"
01235,Marlieux,2020,"0,00"
01236,Marsonnas,2020,"0,00"
01237,Martignat,2020,"94,30"
01238,Massieux,2020,"20,20"
01239,Massignieu-de-Rives,2020,"0,00"
01240,Matafelon-Granges,2020,"0,00"
01241,Meillonnas,2020,"95,00"
01242,Mérignat,2020,"0,00"
01243,Messimy-sur-Saône,2020,"0,00"
01244,Meximieux,2020,"0,10"
01245,Bohas-Meyriat-Rignat,2020,"66,10"
01246,Mézériat,2020,"0,40"
01247,Mijoux,2020,"34,90"
01248,Mionnay,2020,"79,00"
01249,Miribel,2020,"8,10"
01250,Misérieux,2020,"65,60"
01252,Mogneneins,2020,"81,60"
01254,Montagnat,2020,"90,30"
01255,Montagnieu,2020,"88,00"
01257,Montanges,2020,"79,50"
01258,Montceaux,2020,"90,80"
01259,Montcet,2020,"52,20"
01260,Le Montellier,2020,"98,60"
01261,Monthieux,2020,"69,90"
01262,Montluel,2020,"17,20"
01263,Montmerle-sur-Saône,2020,"3,00"
01264,Montracol,2020,"0,00"
01265,Montréal-la-Cluse,2020,"59,30"
01266,Montrevel-en-Bresse,2020,"0,00"
01267,Nurieux-Volognat,2020,"62,80"
